age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
25-29,Male,India,Bachelors,Software Engineer,"> 10,000 employees",No (we do not use ML methods),"7,500-9,999",intermediate,3-5 years
30-34,Male,Canada,Doctoral,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),,intermediate,
22-24,Female,Other,Masters,Other,0-49 employees,No (we do not use ML methods),,intermediate,
50-54,Male,South Korea,Coursework,Software Engineer,0-49 employees,No (we do not use ML methods),"5,000-7,499",advance,< 1 years
25-29,Male,Turkey,Bachelors,Business Analyst,"> 10,000 employees",,,intermediate,
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Coursework,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),,intermediate,
35-39,Male,India,Masters,Student,,,,intermediate,
45-49,Male,United States of America,Doctoral,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,3-5 years
22-24,Male,Other,Bachelors,Student,,,,intermediate,
22-24,Male,India,Coursework,Other,,,,intermediate,
22-24,Female,Turkey,Bachelors,Other,"1000-9,999 employees",,,intermediate,
25-29,Male,South Africa,Bachelors,Data Engineer,0-49 employees,No (we do not use ML methods),"15,000-19,999",intermediate,3-5 years
22-24,Male,Bangladesh,Masters,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",intermediate,
40-44,Male,Greece,Doctoral,Research Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,1-2 years
25-29,Male,India,Bachelors,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",advance,5-10 years
40-44,Male,Australia,Masters,Data Engineer,250-999 employees,No (we do not use ML methods),"200,000-249,999",basic,3-5 years
18-21,Female,India,Bachelors,Data Analyst,0-49 employees,,,intermediate,
40-44,Male,South Korea,Coursework,Software Engineer,50-249 employees,No (we do not use ML methods),"25,000-29,999",intermediate,
30-34,Male,Italy,Doctoral,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,5-10 years
25-29,Female,South Korea,Masters,Student,,,,basic,< 1 years
45-49,Male,Turkey,Masters,Product/Project Manager,0-49 employees,No (we do not use ML methods),"20,000-24,999",intermediate,3-5 years
18-21,Male,India,Bachelors,Student,,,,intermediate,
22-24,Female,China,Doctoral,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","1,000-1,999",advance,1-2 years
22-24,Male,Bangladesh,Masters,Student,,,,advance,< 1 years
22-24,Male,China,Masters,Other,,,,intermediate,
22-24,Male,India,Bachelors,Student,,,,intermediate,
40-44,Male,Russia,Coursework,Business Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",intermediate,3-5 years
25-29,Female,India,Bachelors,Software Engineer,"> 10,000 employees",,,intermediate,
22-24,Male,"Iran, Islamic Republic of...",Masters,Student,,,,intermediate,
22-24,Male,Russia,Masters,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",basic,1-2 years
22-24,Male,Canada,Bachelors,Student,,,,advance,1-2 years
22-24,Female,India,Bachelors,Software Engineer,"1000-9,999 employees",I do not know,,intermediate,
40-44,Male,Netherlands,Bachelors,Other,,,,intermediate,
40-44,Male,South Korea,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,intermediate,
18-21,Male,India,Bachelors,Student,,,,advance,3-5 years
22-24,Female,India,Coursework,Student,,,,basic,< 1 years
35-39,Female,India,Doctoral,Research Scientist,0-49 employees,No (we do not use ML methods),$0-999,intermediate,
22-24,Male,India,Masters,Student,,,,advance,< 1 years
40-44,Male,India,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",advance,1-2 years
30-34,Male,India,Masters,DBA/Database Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",advance,3-5 years
25-29,Male,South Korea,Bachelors,Data Scientist,0-49 employees,I do not know,"30,000-39,999",advance,1-2 years
30-34,Male,Ukraine,Doctoral,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",intermediate,
25-29,Male,Nigeria,Masters,Data Scientist,0-49 employees,I do not know,$0-999,advance,1-2 years
30-34,Male,Spain,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",intermediate,
35-39,Male,Italy,Masters,Statistician,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",,intermediate,
30-34,Male,Germany,Masters,Software Engineer,"1000-9,999 employees",,,intermediate,
25-29,Male,Russia,Coursework,Other,,,,intermediate,
18-21,Male,Other,Coursework,Student,,,,intermediate,
25-29,Male,Other,Masters,Statistician,0-49 employees,No (we do not use ML methods),"1,000-1,999",advance,1-2 years
18-21,Male,Egypt,Coursework,Software Engineer,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,intermediate,
50-54,Male,Spain,Masters,Software Engineer,"> 10,000 employees",No (we do not use ML methods),,intermediate,
18-21,Male,Germany,Bachelors,Student,,,,intermediate,
35-39,Male,India,Bachelors,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,3-5 years
40-44,Male,Russia,Masters,Data Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,1-2 years
30-34,Male,Israel,Masters,Product/Project Manager,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",intermediate,
18-21,Male,India,Coursework,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,1-2 years
40-44,Female,India,Coursework,Research Scientist,0-49 employees,I do not know,$0-999,intermediate,
25-29,Female,Belarus,Bachelors,Other,,,,intermediate,
25-29,Male,Taiwan,Masters,Data Scientist,,,,intermediate,
18-21,Male,Poland,Bachelors,Student,,,,basic,< 1 years
25-29,Male,India,Coursework,Other,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",intermediate,5-10 years
18-21,Male,Pakistan,Bachelors,Student,,,,basic,< 1 years
22-24,Male,India,Masters,Other,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,intermediate,
30-34,Male,India,Masters,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),,intermediate,
35-39,Male,"Iran, Islamic Republic of...",Masters,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,intermediate,< 1 years
25-29,Male,Nigeria,Masters,Data Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,intermediate,
25-29,Male,India,Bachelors,Data Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",intermediate,
40-44,Male,Pakistan,Doctoral,Student,,,,intermediate,
40-44,Female,Spain,Doctoral,Software Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",advance,1-2 years
22-24,Male,Spain,Bachelors,Student,,,,basic,< 1 years
35-39,Male,India,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",intermediate,
22-24,Male,Nigeria,Bachelors,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",advance,3-5 years
40-44,Male,India,Masters,Research Scientist,50-249 employees,No (we do not use ML methods),"10,000-14,999",advance,3-5 years
22-24,Male,Morocco,Coursework,Data Scientist,,,,intermediate,
30-34,Male,Bangladesh,Masters,Business Analyst,0-49 employees,No (we do not use ML methods),"15,000-19,999",basic,3-5 years
35-39,Other,Germany,Doctoral,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,10-20 years
22-24,Male,Japan,Masters,Student,,,,basic,3-5 years
30-34,Male,Russia,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,intermediate,
25-29,Female,South Korea,Bachelors,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"4,000-4,999",advance,3-5 years
25-29,Male,Spain,Doctoral,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),,intermediate,
25-29,Male,Turkey,Masters,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),,intermediate,
30-34,Male,Germany,Masters,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,3-5 years
18-21,Male,Indonesia,Coursework,Other,,,,intermediate,
30-34,Male,Algeria,Doctoral,Data Scientist,50-249 employees,No (we do not use ML methods),"15,000-19,999",advance,3-5 years
60-69,Male,Germany,Doctoral,Statistician,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"> $500,000",advance,20+ years
22-24,Male,France,Masters,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",intermediate,
25-29,Female,Kenya,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",advance,< 1 years
30-34,Male,Netherlands,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",intermediate,5-10 years
22-24,Male,Algeria,Masters,Student,,,,advance,1-2 years
25-29,Male,Taiwan,Bachelors,Software Engineer,"> 10,000 employees",I do not know,"20,000-24,999",advance,< 1 years
18-21,Female,India,Bachelors,Student,,,,intermediate,I have never written code
35-39,Male,India,Doctoral,Data Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,5-10 years
25-29,Male,Germany,Masters,Statistician,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",advance,5-10 years
22-24,Male,Nigeria,Masters,Student,,,,intermediate,
45-49,Male,Spain,Doctoral,Research Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",basic,3-5 years
18-21,Female,India,Bachelors,Student,,,,intermediate,I have never written code
25-29,Female,Tunisia,Masters,Student,,,,intermediate,
30-34,Male,Other,Masters,Data Engineer,"1000-9,999 employees",,,intermediate,
40-44,Male,India,Masters,Product/Project Manager,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,10-20 years
22-24,Male,Turkey,Bachelors,Other,0-49 employees,No (we do not use ML methods),$0-999,intermediate,
25-29,Male,Turkey,Bachelors,Other,"> 10,000 employees",I do not know,"10,000-14,999",basic,I have never written code
18-21,Female,India,Masters,Student,,,,intermediate,
25-29,Male,Algeria,Doctoral,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),$0-999,advance,1-2 years
55-59,Female,United States of America,Doctoral,Student,,,,intermediate,5-10 years
30-34,Male,Germany,Masters,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",intermediate,
30-34,Male,Netherlands,Masters,Data Analyst,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,3-5 years
35-39,Male,France,Masters,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"7,500-9,999",intermediate,10-20 years
25-29,Female,India,Masters,Student,,,,advance,< 1 years
45-49,Male,Australia,Masters,Data Analyst,0-49 employees,I do not know,"30,000-39,999",basic,1-2 years
35-39,Male,Other,Doctoral,Data Scientist,50-249 employees,,,intermediate,
25-29,Female,Other,Masters,Statistician,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,1-2 years
30-34,Male,Germany,Bachelors,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"40,000-49,999",intermediate,5-10 years
18-21,Male,Nigeria,Bachelors,Software Engineer,"> 10,000 employees",I do not know,$0-999,intermediate,
45-49,Male,India,Masters,Product/Project Manager,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",intermediate,< 1 years
25-29,Male,France,Masters,Research Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,5-10 years
50-54,Male,Russia,Coursework,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"40,000-49,999",advance,1-2 years
22-24,Male,Canada,Masters,Business Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",advance,3-5 years
40-44,Male,Ukraine,Coursework,Research Scientist,250-999 employees,No (we do not use ML methods),$0-999,basic,< 1 years
25-29,Female,India,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,basic,
22-24,Male,Netherlands,Masters,Data Engineer,250-999 employees,I do not know,,intermediate,
55-59,Male,Morocco,Coursework,Student,,,,advance,1-2 years
30-34,Male,Israel,Doctoral,Research Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,intermediate,
60-69,Male,Turkey,Masters,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",advance,1-2 years
25-29,Male,Other,Coursework,Data Scientist,0-49 employees,,,intermediate,
25-29,Male,Brazil,Coursework,Student,,,,intermediate,
40-44,Male,India,Bachelors,Product/Project Manager,"> 10,000 employees",,,intermediate,
25-29,Female,Singapore,Bachelors,Data Engineer,0-49 employees,,,intermediate,
25-29,Male,Brazil,Bachelors,Data Scientist,0-49 employees,,,intermediate,
22-24,Female,Egypt,Bachelors,Other,50-249 employees,,,intermediate,
22-24,Male,Chile,Coursework,Student,,,,intermediate,
25-29,Female,Turkey,Masters,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,3-5 years
25-29,Male,China,Doctoral,Student,,,,intermediate,5-10 years
60-69,Male,United States of America,Masters,Business Analyst,250-999 employees,I do not know,"30,000-39,999",basic,I have never written code
30-34,Male,India,Masters,Software Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"2,000-2,999",intermediate,1-2 years
25-29,Other,Bangladesh,Coursework,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",basic,3-5 years
22-24,Male,Japan,Bachelors,Software Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",intermediate,
30-34,Male,Nigeria,Bachelors,Student,,,,advance,< 1 years
22-24,Female,Turkey,Bachelors,Statistician,50-249 employees,,,intermediate,
18-21,Female,India,Bachelors,Student,,,,intermediate,
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",basic,10-20 years
35-39,Male,Canada,Masters,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",advance,5-10 years
22-24,Male,India,Masters,Student,,,,basic,< 1 years
25-29,Male,China,Masters,Student,,,,advance,
50-54,Male,Japan,Coursework,Student,,,,intermediate,
22-24,Female,Philippines,Masters,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),$0-999,basic,3-5 years
25-29,Male,United States of America,Masters,Software Engineer,"> 10,000 employees",I do not know,"70,000-79,999",intermediate,
30-34,Male,Japan,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,3-5 years
30-34,Male,Sweden,Masters,Data Scientist,250-999 employees,No (we do not use ML methods),"50,000-59,999",intermediate,
25-29,Female,Nigeria,Masters,Student,,,,basic,1-2 years
40-44,Male,Thailand,Doctoral,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,1-2 years
30-34,Male,Brazil,Masters,Other,250-999 employees,No (we do not use ML methods),"3,000-3,999",advance,I have never written code
22-24,Female,Germany,Masters,Data Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,< 1 years
55-59,Male,Brazil,Masters,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",advance,< 1 years
45-49,Male,Greece,Masters,Business Analyst,50-249 employees,,,intermediate,
50-54,Male,Egypt,Doctoral,Research Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",intermediate,
22-24,Male,Brazil,Masters,Student,,,,advance,1-2 years
25-29,Male,India,Bachelors,Research Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",,intermediate,
22-24,Female,India,Masters,Student,,,,advance,< 1 years
25-29,Other,Turkey,Bachelors,Software Engineer,50-249 employees,We use ML methods for generating insights (but do not put working models into production),,intermediate,
22-24,Female,Mexico,Masters,Student,,,,intermediate,< 1 years
35-39,Male,Argentina,Masters,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,5-10 years
25-29,Male,Russia,Coursework,Other,,,,intermediate,
22-24,Female,India,Masters,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,intermediate,
18-21,Male,Other,Coursework,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,intermediate,
22-24,Male,India,Bachelors,Student,,,,intermediate,
30-34,Male,United States of America,Bachelors,Student,,,,advance,< 1 years
22-24,Female,Morocco,Coursework,Other,,,,intermediate,
40-44,Male,Japan,Bachelors,Product/Project Manager,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,1-2 years
70+,Male,United States of America,Masters,Other,0-49 employees,No (we do not use ML methods),$0-999,basic,20+ years
30-34,Male,Japan,Masters,Research Scientist,"> 10,000 employees",,,intermediate,
25-29,Male,India,Bachelors,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,3-5 years
30-34,Male,Canada,Bachelors,Other,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",basic,3-5 years
25-29,Male,Egypt,Bachelors,Data Analyst,250-999 employees,No (we do not use ML methods),$0-999,intermediate,
35-39,Male,India,Bachelors,Data Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),$0-999,advance,3-5 years
18-21,Male,India,Bachelors,Data Scientist,0-49 employees,,,intermediate,
30-34,Male,Japan,Masters,Data Scientist,250-999 employees,,,intermediate,
25-29,Male,India,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",intermediate,
25-29,Male,Other,Bachelors,Student,,,,advance,< 1 years
25-29,Male,United States of America,Masters,Other,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,5-10 years
25-29,Male,India,Bachelors,Data Scientist,0-49 employees,,,intermediate,
22-24,Male,United States of America,Masters,Student,,,,advance,1-2 years
30-34,Male,Czech Republic,Doctoral,Student,,,,advance,5-10 years
35-39,Male,United States of America,Masters,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",intermediate,5-10 years
30-34,Male,Russia,Coursework,Other,,,,intermediate,
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Masters,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,5-10 years
18-21,Male,India,Bachelors,Student,,,,intermediate,1-2 years
25-29,Male,India,Masters,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"10,000-14,999",intermediate,
25-29,Male,Germany,Masters,Student,,,,advance,1-2 years
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years
25-29,Female,Nigeria,Bachelors,Research Scientist,0-49 employees,No (we do not use ML methods),"3,000-3,999",basic,1-2 years
25-29,Male,India,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",advance,1-2 years
25-29,Male,Nigeria,Bachelors,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",basic,1-2 years
30-34,Female,Germany,Doctoral,Statistician,250-999 employees,,,intermediate,
45-49,Male,Italy,Coursework,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,< 1 years
25-29,Male,France,Masters,Data Scientist,50-249 employees,No (we do not use ML methods),"50,000-59,999",advance,3-5 years
25-29,Male,India,Masters,Software Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",intermediate,
22-24,Male,Ireland,Masters,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",,intermediate,
30-34,Male,United States of America,Bachelors,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years
55-59,Male,Japan,Coursework,Software Engineer,"1000-9,999 employees",I do not know,"80,000-89,999",advance,1-2 years
30-34,Male,United States of America,Masters,Student,,,,advance,3-5 years
25-29,Female,India,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,intermediate,1-2 years
30-34,Other,Sweden,Doctoral,Student,,,,intermediate,3-5 years
35-39,Female,India,Masters,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",intermediate,
30-34,Male,United States of America,Masters,Data Engineer,250-999 employees,No (we do not use ML methods),"100,000-124,999",intermediate,5-10 years
18-21,Male,India,Bachelors,Student,,,,basic,1-2 years
25-29,Male,Algeria,Masters,Statistician,250-999 employees,No (we do not use ML methods),"3,000-3,999",advance,1-2 years
18-21,Male,Other,Bachelors,Student,,,,intermediate,1-2 years
22-24,Male,Other,Masters,Software Engineer,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,1-2 years
22-24,Female,Nigeria,Masters,Student,,,,basic,< 1 years
50-54,Male,United States of America,Bachelors,DBA/Database Engineer,50-249 employees,No (we do not use ML methods),"125,000-149,999",intermediate,< 1 years
22-24,Male,India,Masters,Student,,,,advance,< 1 years
25-29,Male,India,Coursework,Student,,,,basic,I have never written code
25-29,Male,Other,Masters,Student,,,,advance,1-2 years
30-34,Male,Argentina,Masters,Data Scientist,0-49 employees,No (we do not use ML methods),$0-999,advance,1-2 years
25-29,Male,France,Masters,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,3-5 years
35-39,Male,United States of America,Coursework,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",intermediate,
22-24,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",advance,3-5 years
25-29,Male,United States of America,Masters,Student,,,,intermediate,
22-24,Male,Russia,Masters,Student,,,,advance,< 1 years
40-44,Male,India,Bachelors,Product/Project Manager,"1000-9,999 employees",,,intermediate,
25-29,Male,Indonesia,Bachelors,Data Analyst,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years
22-24,Male,United States of America,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,3-5 years
40-44,Male,Mexico,Doctoral,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",intermediate,10-20 years
50-54,Male,Italy,Bachelors,Other,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,20+ years
30-34,Male,India,Masters,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",intermediate,< 1 years
35-39,Male,India,Masters,Product/Project Manager,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,3-5 years
40-44,Male,Algeria,Coursework,Other,,,,intermediate,
35-39,Male,India,Coursework,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",intermediate,
40-44,Male,Other,Masters,Product/Project Manager,"1000-9,999 employees",I do not know,"60,000-69,999",advance,1-2 years
22-24,Male,Brazil,Bachelors,Student,,,,advance,< 1 years
22-24,Male,India,Bachelors,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,3-5 years
35-39,Male,Other,Masters,Statistician,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years
25-29,Male,France,Doctoral,Research Scientist,"1000-9,999 employees",,,intermediate,
22-24,Male,Spain,Coursework,Software Engineer,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,3-5 years
22-24,Male,United States of America,Masters,Student,,,,advance,1-2 years
45-49,Male,Thailand,Bachelors,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",advance,20+ years
25-29,Male,Other,Bachelors,Data Analyst,"1000-9,999 employees",I do not know,"5,000-7,499",intermediate,1-2 years
40-44,Male,Brazil,Masters,Student,,,,advance,< 1 years
25-29,Male,Brazil,Doctoral,Student,,,,advance,5-10 years
18-21,Male,Egypt,Masters,Student,,,,intermediate,
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years
25-29,Male,Sweden,Masters,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),,intermediate,
18-21,Male,India,Coursework,Other,,,,intermediate,
18-21,Male,India,Bachelors,Student,,,,intermediate,
35-39,Male,Italy,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,10-20 years
30-34,Male,Argentina,Coursework,Other,50-249 employees,I do not know,"30,000-39,999",intermediate,
25-29,Male,Other,Doctoral,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,1-2 years
22-24,Male,India,Bachelors,Student,,,,advance,< 1 years
25-29,Female,Other,Bachelors,Data Analyst,0-49 employees,No (we do not use ML methods),$0-999,basic,1-2 years
18-21,Male,India,Bachelors,Student,,,,basic,I have never written code
25-29,Male,India,Masters,Data Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,3-5 years
60-69,Male,United Kingdom of Great Britain and Northern Ireland,Coursework,Software Engineer,0-49 employees,,,intermediate,
18-21,Male,India,Bachelors,Student,,,,basic,I have never written code
22-24,Male,United States of America,Masters,Business Analyst,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,intermediate,
35-39,Male,Argentina,Doctoral,Research Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",advance,5-10 years
40-44,Other,India,Masters,Other,50-249 employees,I do not know,"10,000-14,999",basic,< 1 years
25-29,Male,Mexico,Masters,Student,,,,intermediate,
25-29,Female,United States of America,Masters,Student,,,,intermediate,< 1 years
25-29,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,1-2 years
60-69,Male,Brazil,Doctoral,Other,0-49 employees,No (we do not use ML methods),"1,000-1,999",intermediate,5-10 years
70+,Male,Canada,Doctoral,Other,0-49 employees,We use ML methods for generating insights (but do not put working models into production),,intermediate,
22-24,Male,United States of America,Masters,Student,,,,advance,5-10 years
40-44,Male,Other,Coursework,Other,,,,intermediate,
25-29,Male,Other,Masters,Product/Project Manager,250-999 employees,No (we do not use ML methods),"2,000-2,999",advance,3-5 years
22-24,Female,Nigeria,Masters,Student,,,,basic,I have never written code
22-24,Male,India,Masters,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",intermediate,
25-29,Male,Czech Republic,Masters,Data Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,5-10 years
